bedrooms,bathrooms,area,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,prefarea,parking,furnishingstatus,price
3,4,1709,3,yes,no,yes,no,yes,yes,2,semi-furnished,333503
5,6,2319,2,yes,no,yes,no,yes,no,1,semi-furnished,504918
2,2,1534,1,yes,no,no,no,no,no,1,unfurnished,246814
3,4,1833,1,yes,no,yes,no,no,no,2,unfurnished,348844
4,6,2488,2,yes,no,yes,no,yes,no,2,furnished,538713
2,2,1124,1,yes,no,no,no,yes,no,0,furnished,221755
1,3,824,2,yes,no,yes,no,yes,no,1,furnished,220311
2,2,1346,1,yes,no,no,no,yes,yes,1,furnished,272565
2,2,1429,1,no,no,no,no,yes,no,0,semi-furnished,219045
5,5,2456,2,yes,no,yes,no,no,yes,2,unfurnished,490009
4,5,1925,2,yes,yes,no,no,yes,no,2,semi-furnished,389536
3,4,1876,2,yes,no,no,no,no,yes,1,unfurnished,352490
4,4,2244,3,yes,no,no,no,yes,yes,1,semi-furnished,440062
4,4,1916,3,yes,no,no,yes,yes,yes,3,unfurnished,397678
2,3,1571,3,yes,yes,yes,no,yes,yes,2,furnished,334017
4,3,2334,2,yes,yes,no,yes,yes,no,2,unfurnished,398374
3,4,1726,3,yes,yes,no,no,no,no,1,unfurnished,315630
4,5,2115,1,yes,no,yes,no,no,no,2,furnished,432790
4,5,2210,1,no,yes,yes,no,yes,no,1,furnished,468810
2,4,1127,2,no,no,yes,no,yes,yes,0,unfurnished,262977
2,2,1306,3,yes,yes,yes,no,yes,no,1,unfurnished,284623
2,4,869,1,yes,yes,no,yes,no,yes,2,furnished,243087
3,4,1875,1,yes,yes,yes,no,no,no,1,semi-furnished,364939
4,5,1787,1,yes,yes,yes,yes,yes,yes,2,semi-furnished,410474
4,4,2400,3,yes,no,no,yes,yes,yes,0,semi-furnished,461825
1,2,833,2,yes,no,yes,yes,yes,no,1,furnished,184791
3,3,1657,1,yes,no,no,no,yes,no,0,furnished,367427
3,3,1574,2,yes,yes,no,no,yes,no,1,semi-furnished,329204
2,1,1242,2,yes,yes,yes,no,yes,no,0,unfurnished,251092
2,3,1583,2,yes,no,no,no,no,yes,1,unfurnished,308029
2,3,802,1,no,no,no,yes,yes,no,1,furnished,204158
5,6,2755,3,yes,yes,yes,no,yes,no,1,unfurnished,488053
2,3,1367,2,yes,no,yes,yes,no,yes,2,furnished,316966
3,2,1458,2,yes,no,no,no,yes,yes,1,semi-furnished,261986
4,5,1884,1,yes,yes,no,yes,yes,yes,2,unfurnished,390381
3,3,2035,2,yes,no,no,no,yes,no,2,semi-furnished,362225
5,6,2310,2,yes,yes,yes,no,yes,yes,1,furnished,534169
5,6,2269,2,yes,no,no,no,yes,yes,2,furnished,536152
2,3,1527,1,yes,yes,no,no,yes,yes,2,semi-furnished,295612
3,4,1767,3,yes,no,no,no,no,yes,1,unfurnished,328997
2,2,1112,1,yes,yes,no,yes,yes,no,3,unfurnished,225879
2,2,1343,2,yes,no,no,no,no,no,2,unfurnished,200360
1,2,694,3,yes,yes,no,no,yes,yes,3,unfurnished,176958
3,3,1920,2,yes,no,no,yes,no,yes,2,unfurnished,297684
3,3,1912,3,yes,no,no,no,yes,yes,1,unfurnished,336729
1,1,1006,2,no,no,yes,yes,yes,no,1,furnished,222631
2,3,1372,2,yes,no,no,no,yes,yes,2,unfurnished,277585
5,5,2852,3,yes,no,no,no,yes,yes,3,furnished,582929
2,2,1299,1,yes,no,yes,no,yes,no,2,unfurnished,244695
2,3,1063,2,no,yes,no,no,no,yes,2,furnished,236744
3,4,1789,3,no,no,yes,yes,yes,no,1,unfurnished,331633
6,6,3317,2,yes,yes,no,no,yes,yes,1,unfurnished,647646
2,2,1097,2,yes,no,no,no,yes,no,3,unfurnished,254556
3,3,1627,2,yes,yes,yes,no,no,yes,2,unfurnished,330292
4,4,2183,3,yes,no,no,no,yes,yes,3,furnished,479256
2,2,1289,3,yes,no,yes,no,no,yes,2,semi-furnished,256222
4,5,1903,2,yes,no,no,no,no,no,1,furnished,390328
3,4,1924,2,yes,no,no,no,yes,no,2,furnished,401555
3,4,2164,3,yes,yes,yes,yes,yes,yes,3,furnished,472134
3,3,1739,1,no,no,yes,no,no,no,2,furnished,368464
3,4,1519,1,yes,yes,yes,yes,yes,no,1,semi-furnished,354037
1,1,590,3,yes,no,no,no,yes,no,1,unfurnished,135452
4,6,2151,3,yes,no,no,no,no,no,2,unfurnished,403154
2,3,1520,3,no,no,yes,no,no,yes,0,furnished,286544
2,2,1395,2,no,yes,yes,yes,no,no,2,furnished,309812
1,2,899,1,yes,yes,yes,no,yes,yes,0,furnished,200088
3,3,1582,2,yes,yes,no,no,yes,yes,1,furnished,350255
3,4,1481,1,no,yes,no,yes,yes,yes,2,furnished,365019
1,1,1066,1,yes,yes,yes,no,yes,no,1,furnished,245903
3,3,1882,3,yes,no,no,no,yes,no,2,semi-furnished,342251
2,3,990,1,yes,yes,yes,yes,yes,no,1,semi-furnished,223661
3,3,2017,3,yes,no,no,no,yes,no,3,semi-furnished,359855
2,3,1414,2,yes,no,no,no,no,no,1,furnished,262024
3,3,1979,2,no,no,no,no,no,yes,0,unfurnished,318784
3,4,1431,1,yes,no,no,no,no,yes,2,unfurnished,256457
5,6,2226,2,yes,no,no,no,yes,yes,2,furnished,519799
2,3,1270,1,yes,no,no,no,yes,yes,1,furnished,291250
2,2,1400,4,yes,yes,no,no,no,yes,3,furnished,335510
2,2,1659,3,yes,no,yes,no,yes,yes,2,furnished,339803
5,4,2641,2,yes,no,yes,no,yes,no,3,semi-furnished,475814
4,4,2051,1,yes,no,yes,yes,yes,no,2,furnished,441658
2,3,1094,3,yes,no,no,yes,yes,no,1,semi-furnished,235726
3,5,1946,2,yes,no,yes,no,yes,no,1,furnished,411652
4,5,1907,1,yes,no,yes,no,no,yes,1,unfurnished,370050
3,4,2025,2,no,yes,no,yes,no,no,2,furnished,437865
3,4,1643,3,yes,no,yes,yes,yes,yes,1,semi-furnished,364638
2,3,1618,1,yes,no,no,no,yes,yes,0,furnished,365047
1,1,1035,1,yes,yes,no,no,no,no,1,furnished,226859
4,6,2072,3,yes,yes,no,no,yes,yes,1,unfurnished,448705
5,6,2396,1,yes,yes,no,no,yes,yes,2,semi-furnished,465206
3,4,1631,1,yes,no,no,no,no,yes,2,furnished,371491
2,2,1385,2,yes,yes,no,no,no,no,2,semi-furnished,254074
2,2,1315,3,yes,no,yes,no,no,no,3,semi-furnished,235322
4,4,1981,2,yes,no,no,yes,yes,yes,2,semi-furnished,431776
4,5,2066,4,yes,no,yes,no,yes,no,3,semi-furnished,424542
4,5,2115,2,yes,no,yes,no,no,yes,1,unfurnished,384697
4,4,1674,1,yes,no,no,no,yes,yes,0,furnished,368770
3,5,1791,4,yes,no,yes,yes,no,yes,1,furnished,403733
1,1,704,2,yes,yes,yes,no,yes,no,1,furnished,167228
2,2,1069,1,yes,no,yes,no,no,yes,2,unfurnished,221847
4,3,1762,2,yes,no,yes,yes,yes,yes,2,unfurnished,395056
3,4,1341,2,yes,no,yes,no,yes,yes,1,unfurnished,281593
1,3,628,1,yes,no,yes,no,yes,yes,2,unfurnished,204545
2,2,1158,1,no,yes,no,no,yes,no,2,unfurnished,229936
3,4,2090,2,no,no,no,no,yes,yes,0,semi-furnished,383615
1,1,794,3,yes,yes,yes,no,yes,yes,2,unfurnished,208242
2,4,1335,2,yes,no,no,no,no,yes,3,unfurnished,272473
3,4,1780,4,yes,no,yes,no,yes,yes,2,furnished,442711
3,4,1726,1,yes,no,yes,yes,yes,no,2,semi-furnished,356915
3,2,1684,1,yes,yes,yes,no,yes,yes,1,unfurnished,289786
2,4,1060,1,yes,no,no,no,no,yes,0,unfurnished,225125
4,5,2390,1,yes,no,no,yes,yes,yes,1,unfurnished,445479
2,2,1661,1,no,yes,no,no,yes,yes,2,unfurnished,282539
2,3,963,3,yes,no,no,no,no,no,1,unfurnished,202085
4,4,1895,3,no,no,no,no,yes,no,1,semi-furnished,349362
3,4,1644,4,yes,no,no,no,yes,no,3,furnished,345369
4,4,1907,1,yes,no,no,no,yes,yes,2,furnished,389708
3,4,1801,3,yes,no,yes,yes,no,no,2,semi-furnished,329534
3,4,1554,2,yes,no,yes,yes,yes,no,0,semi-furnished,332034
1,1,1333,1,yes,no,no,no,no,yes,0,semi-furnished,173802
3,3,1938,3,yes,no,no,no,no,no,0,semi-furnished,329558
2,1,1342,2,yes,no,yes,no,yes,no,2,unfurnished,230726
2,2,1505,1,yes,yes,yes,no,no,yes,0,furnished,312446
5,5,2721,2,no,yes,no,no,yes,yes,2,unfurnished,452391
3,4,1587,1,yes,yes,no,no,yes,no,3,unfurnished,318517
4,4,1936,3,no,no,yes,no,yes,yes,1,semi-furnished,369672
3,3,1715,2,yes,no,no,yes,no,no,1,semi-furnished,340588
4,5,2272,4,yes,no,no,no,yes,no,2,unfurnished,405204
3,2,1727,1,yes,yes,no,no,yes,no,3,unfurnished,309327
3,5,1384,2,yes,no,no,no,yes,yes,2,furnished,346317
3,4,1539,2,no,no,no,no,yes,yes,0,furnished,340316
2,3,1285,2,yes,no,yes,no,yes,yes,0,furnished,299970
4,5,2084,2,yes,no,yes,no,yes,no,2,furnished,448099
2,3,1694,3,yes,no,no,no,yes,no,2,furnished,348732
1,1,622,3,yes,yes,no,no,yes,no,0,furnished,165308
3,2,1801,3,yes,yes,yes,no,yes,yes,2,semi-furnished,354423
2,2,1597,3,yes,yes,no,no,yes,no,2,unfurnished,294167
5,6,2954,3,yes,no,no,yes,no,no,1,semi-furnished,559838
5,4,2419,2,yes,no,yes,no,no,yes,2,unfurnished,468397
5,6,2598,3,no,no,yes,no,yes,yes,0,unfurnished,500407
3,5,1813,2,yes,no,yes,no,yes,no,2,unfurnished,352998
1,2,939,2,yes,no,no,no,no,no,2,semi-furnished,163640
5,6,2480,2,yes,yes,no,no,no,no,1,furnished,505447
3,2,1787,2,yes,yes,no,no,yes,yes,2,unfurnished,339837
5,6,1993,1,yes,no,no,no,yes,yes,2,unfurnished,426015
5,6,2636,4,yes,no,no,no,yes,no,3,semi-furnished,569504
4,4,2125,2,yes,no,no,yes,yes,no,1,furnished,456636
2,1,1255,1,yes,no,no,no,yes,no,2,unfurnished,195191
3,5,2109,2,yes,yes,no,no,no,no,2,furnished,417146
4,5,1965,1,yes,no,no,no,yes,yes,2,furnished,483490
2,3,1219,1,yes,no,yes,no,yes,no,2,unfurnished,237992
2,3,1698,1,yes,yes,no,no,no,yes,0,semi-furnished,311498
3,4,1533,2,no,no,yes,yes,no,yes,1,semi-furnished,302049
5,6,2389,2,yes,no,no,yes,no,yes,2,unfurnished,488982
3,3,1670,3,no,yes,no,no,no,no,0,semi-furnished,317026
3,3,1868,3,yes,yes,yes,no,yes,no,3,semi-furnished,360575
1,1,941,2,yes,no,yes,no,no,yes,2,furnished,201981
3,4,1441,2,yes,no,no,no,no,yes,1,furnished,339552
6,6,2793,2,yes,no,no,no,yes,no,2,unfurnished,509044
2,3,1178,3,yes,no,yes,no,yes,no,1,semi-furnished,271120
3,3,1684,1,yes,no,no,no,yes,no,2,furnished,357181
4,5,2185,1,no,yes,yes,no,no,yes,0,furnished,457240
4,5,2183,3,yes,no,yes,no,yes,yes,1,semi-furnished,434281
3,4,1344,2,yes,no,yes,no,yes,yes,0,semi-furnished,301595
4,5,2312,1,yes,no,yes,no,yes,yes,2,semi-furnished,445148
3,3,1750,1,yes,no,no,no,yes,yes,1,semi-furnished,332346
2,3,1576,3,yes,no,no,no,yes,yes,1,furnished,337416
4,4,2188,3,yes,yes,no,yes,yes,yes,1,semi-furnished,418379
4,4,2320,3,yes,no,no,no,no,yes,1,unfurnished,428013
4,4,2193,2,yes,no,yes,no,yes,no,3,furnished,460825
5,6,2769,2,no,yes,no,yes,yes,yes,0,semi-furnished,504256
3,5,1804,4,yes,no,yes,no,yes,yes,2,semi-furnished,385121
3,4,1680,4,yes,yes,no,no,yes,no,2,unfurnished,336445
4,5,2554,1,no,no,no,no,yes,no,2,furnished,492112
3,4,1877,3,yes,no,yes,yes,yes,no,1,unfurnished,360682
4,5,2214,1,yes,yes,no,no,yes,no,3,semi-furnished,447080
4,3,1844,1,yes,no,yes,no,yes,no,1,unfurnished,368378
4,4,1842,2,yes,no,yes,no,yes,no,2,furnished,419755
2,2,1358,2,yes,no,yes,no,yes,no,3,unfurnished,239571
3,3,1729,3,yes,yes,yes,no,yes,no,2,unfurnished,331097
1,1,777,1,yes,yes,yes,no,yes,yes,2,furnished,188339
3,3,1728,2,yes,no,yes,no,yes,yes,3,furnished,428801
1,1,1217,3,yes,yes,no,no,no,no,2,semi-furnished,262390
3,5,1839,3,no,no,yes,no,no,yes,1,furnished,418588
3,3,1471,1,yes,no,no,no,yes,no,1,unfurnished,287689
2,2,1277,2,yes,no,no,no,yes,yes,1,furnished,285894
3,3,1539,2,yes,no,no,no,yes,yes,1,furnished,350803
1,2,822,1,no,no,yes,yes,yes,no,2,semi-furnished,140922
1,1,817,4,yes,no,yes,no,no,yes,2,furnished,214767
4,4,2004,3,yes,no,no,no,no,no,0,unfurnished,339856
3,4,1448,1,no,no,no,no,no,no,2,unfurnished,271387
2,1,1274,1,yes,no,no,no,no,no,1,semi-furnished,220231
3,2,1587,1,no,yes,yes,no,no,yes,3,unfurnished,345376
4,4,1514,3,yes,yes,no,no,yes,no,3,unfurnished,345012
2,1,1710,1,yes,no,yes,no,yes,no,3,furnished,339420
3,3,1917,2,no,no,no,no,no,no,2,unfurnished,313701
1,1,824,2,yes,no,no,no,yes,no,1,furnished,208182
1,2,903,2,yes,no,yes,no,yes,no,2,semi-furnished,195078
3,4,1465,1,yes,yes,no,no,yes,no,1,semi-furnished,306723
3,4,2039,1,no,no,yes,no,no,no,1,unfurnished,344524
3,3,2079,3,yes,no,no,no,yes,yes,2,furnished,421418
4,6,2131,3,yes,no,no,no,yes,yes,0,furnished,470758
5,5,2704,3,yes,no,no,yes,no,yes,3,semi-furnished,483114
3,2,1735,1,yes,yes,yes,no,no,yes,3,furnished,353375
2,3,1032,2,yes,no,yes,no,no,no,1,unfurnished,221832
4,4,2017,2,yes,no,no,no,yes,yes,2,semi-furnished,434605
2,2,1326,1,yes,yes,no,no,yes,no,1,furnished,280802
3,4,1609,3,yes,no,no,no,no,yes,2,furnished,353684
1,2,856,2,yes,no,yes,no,yes,yes,2,semi-furnished,176648
1,1,881,1,yes,no,yes,no,yes,yes,1,semi-furnished,205446
5,6,2483,3,no,no,no,no,yes,yes,1,furnished,518760
4,6,2110,4,no,yes,no,yes,yes,yes,1,furnished,492644
3,3,1487,1,yes,no,no,no,yes,yes,3,furnished,349853
3,3,1556,2,yes,yes,no,no,yes,no,0,furnished,341594
2,2,1043,2,yes,no,no,yes,yes,yes,0,semi-furnished,225540
2,2,1495,2,yes,yes,yes,no,no,yes,2,unfurnished,298072
2,2,878,1,yes,no,yes,no,yes,no,2,semi-furnished,200638
3,5,1930,2,yes,no,no,yes,yes,yes,2,unfurnished,356893
4,5,2377,4,yes,no,no,no,yes,yes,2,furnished,492756
3,4,1639,2,no,yes,no,yes,yes,yes,2,semi-furnished,293213
2,2,779,1,yes,no,no,no,no,yes,2,semi-furnished,184831
5,6,2427,2,yes,no,yes,no,yes,no,0,semi-furnished,504189
4,6,2087,2,yes,yes,yes,no,no,yes,2,semi-furnished,459213
3,4,1497,3,no,no,no,no,yes,no,0,unfurnished,281194
3,2,1596,2,yes,no,no,no,yes,no,1,semi-furnished,281965
3,4,2006,1,yes,no,no,yes,yes,yes,3,furnished,446274
2,1,1432,1,yes,no,no,no,yes,no,1,semi-furnished,244195
3,3,1515,3,yes,yes,no,no,yes,yes,3,unfurnished,350298
4,3,1780,1,yes,no,yes,yes,yes,yes,1,unfurnished,332978
1,2,834,3,yes,no,no,no,yes,yes,1,semi-furnished,175134
2,3,1257,1,yes,yes,no,no,no,yes,2,semi-furnished,248536
1,1,999,2,yes,no,no,no,no,no,2,semi-furnished,151881
1,1,792,2,yes,no,no,no,yes,yes,2,unfurnished,149299
4,4,2202,3,no,no,yes,no,yes,no,2,unfurnished,400304
4,4,2487,3,yes,no,yes,no,yes,no,0,unfurnished,418195
3,3,1863,1,yes,yes,yes,no,no,yes,3,semi-furnished,298310
1,1,890,2,yes,yes,yes,yes,yes,no,0,furnished,225955
3,4,1663,1,yes,no,no,no,yes,no,2,unfurnished,272878
3,2,1628,2,yes,yes,no,no,yes,yes,1,unfurnished,321144
2,1,1536,2,yes,no,no,no,yes,yes,2,unfurnished,272944
3,3,1574,3,no,yes,no,no,yes,yes,2,furnished,399859
3,5,1709,3,no,no,yes,yes,yes,yes,0,semi-furnished,377023
3,4,1710,2,yes,no,no,no,no,yes,3,furnished,371937
3,4,1599,2,yes,no,yes,yes,no,yes,1,unfurnished,309838
1,1,625,3,yes,yes,yes,yes,yes,no,1,furnished,209454
3,4,1764,3,yes,yes,no,no,yes,no,2,semi-furnished,323996
3,2,1687,1,yes,yes,no,yes,yes,yes,0,furnished,359673
3,4,1800,2,yes,yes,no,yes,no,yes,1,furnished,392977
4,6,1993,2,no,no,yes,no,no,yes,2,semi-furnished,407003
3,4,1944,1,yes,no,no,yes,yes,yes,2,furnished,419092
2,3,1124,1,no,no,yes,yes,yes,yes,0,semi-furnished,244115
1,2,1242,1,yes,no,yes,yes,yes,no,2,unfurnished,234188
3,3,1350,2,yes,no,no,no,yes,yes,2,unfurnished,283779
1,3,986,1,yes,no,no,no,yes,yes,2,furnished,241021
3,2,1795,1,yes,no,no,no,no,yes,3,unfurnished,323267
5,6,2340,1,yes,no,no,no,yes,no,2,furnished,485681
3,3,1784,3,yes,no,no,no,yes,no,2,unfurnished,323160
3,2,1955,3,yes,no,no,yes,no,yes,1,unfurnished,329312
3,3,1256,2,no,yes,no,yes,yes,yes,0,furnished,284220
3,3,1800,2,yes,yes,no,no,no,yes,2,semi-furnished,348176
3,3,1201,4,yes,no,no,no,yes,yes,3,furnished,317449
5,6,2306,1,no,yes,no,no,no,no,2,unfurnished,423424
3,2,2025,1,yes,no,yes,no,yes,no,0,semi-furnished,371127
5,5,2383,1,yes,no,no,no,yes,no,1,semi-furnished,437288
5,6,2265,1,yes,yes,no,yes,yes,yes,2,semi-furnished,477277
2,2,1260,2,yes,yes,yes,no,yes,yes,2,unfurnished,269560
1,2,1313,3,no,no,no,no,yes,no,2,unfurnished,206387
2,3,933,2,yes,no,yes,no,no,yes,2,semi-furnished,235582
1,2,689,2,yes,yes,no,no,no,no,1,unfurnished,166734
1,2,1199,3,yes,no,no,no,yes,yes,3,unfurnished,238610
3,3,2071,1,yes,no,yes,no,yes,yes,2,unfurnished,379051
1,2,879,1,yes,no,no,no,no,no,1,furnished,165845
2,2,1052,2,no,yes,no,no,no,yes,1,furnished,281153
4,4,2519,2,yes,no,no,no,yes,yes,3,furnished,503704
1,2,1218,1,yes,yes,yes,no,no,yes,2,semi-furnished,215662
4,4,2235,2,yes,no,no,no,yes,no,1,furnished,465933
2,3,1137,2,yes,no,no,no,yes,yes,0,semi-furnished,239665
2,3,1290,2,yes,no,no,yes,yes,yes,0,semi-furnished,258329
3,4,1667,2,no,no,no,no,no,no,1,semi-furnished,295730
3,5,1766,2,yes,no,no,yes,yes,yes,2,semi-furnished,404850
4,4,2390,1,yes,no,no,no,yes,no,2,furnished,477211
4,4,2275,2,yes,yes,no,no,yes,yes,2,unfurnished,433995
4,5,1884,1,yes,no,yes,no,yes,no,2,unfurnished,371332
2,2,1575,3,yes,no,no,yes,yes,yes,0,semi-furnished,302550
2,3,1362,2,yes,yes,no,no,yes,no,0,unfurnished,278412
4,5,2237,2,yes,no,no,no,yes,no,1,furnished,453188
4,5,2393,3,no,yes,yes,no,yes,no,0,unfurnished,398021
6,6,2677,2,yes,yes,yes,no,no,yes,0,furnished,608737
3,3,1692,2,yes,yes,yes,no,yes,yes,2,semi-furnished,369076
3,3,1593,3,yes,no,yes,no,no,no,2,furnished,355393
4,4,1786,3,yes,no,no,no,yes,yes,2,semi-furnished,388801
2,3,1369,2,no,no,yes,yes,yes,yes,2,furnished,306857
5,5,3002,1,no,no,no,no,yes,no,2,semi-furnished,520415
4,4,1731,2,yes,no,yes,yes,yes,yes,2,furnished,416793
3,2,1693,3,no,no,yes,no,yes,no,1,unfurnished,289330
4,5,2228,1,yes,yes,no,yes,no,yes,3,semi-furnished,468311
4,5,2124,1,no,no,yes,no,no,no,0,furnished,399416
2,2,1277,3,yes,yes,no,no,yes,yes,1,furnished,343043
5,4,2240,1,yes,no,yes,no,yes,yes,1,unfurnished,445347
3,3,1746,3,yes,yes,no,no,no,no,3,furnished,339938
