Neighborhood,Bedrooms,Bathrooms,Square_Feet,Year_Built,Age,Property_Type,Garage_Spaces,Has_Pool,Has_Fireplace,Has_AC,Lot_Size,Distance_to_School,Distance_to_Shopping,Distance_to_Highway,Price
Riverside,3,2,1528,1990.0,34,Single Family,0,0,0,1,7675.0,0.3,5.1,0.3,265432
Riverside,3,3,1658,1985.0,39,Single Family,0,0,1,1,9733.0,0.2,3.5,0.6,287330
University,4,5,2252,1982.0,42,Townhouse,1,0,0,1,,1.5,0.1,3.4,368116
Industrial,2,3,1264,1954.0,70,Single Family,3,0,1,1,7652.0,0.8,1.2,0.1,190579
Industrial,4,5,2132,1963.0,61,Duplex,2,0,1,1,6931.0,0.5,0.8,6.4,244919
University,3,4,1733,2017.0,7,Single Family,2,0,0,1,10174.0,0.9,0.5,2.7,318531
Industrial,5,5,2583,1996.0,28,Townhouse,2,0,0,1,13375.0,2.8,4.8,0.1,348938
Uptown,2,2,1411,2003.0,21,Single Family,1,1,1,1,8280.0,3.9,4.4,0.8,322358
Riverside,3,3,1665,1953.0,71,Single Family,2,0,1,1,7452.0,1.0,1.3,2.7,247659
University,5,5,2317,1958.0,66,Single Family,1,0,0,1,11770.0,1.3,0.3,0.1,367463
Riverside,2,3,1056,2002.0,22,Townhouse,2,0,0,0,4610.0,0.4,0.0,4.5,213563
Downtown,5,6,2703,2009.0,15,Condo,1,0,1,0,8187.0,1.1,1.2,7.6,635599
Uptown,3,3,1854,1995.0,29,Single Family,1,0,0,1,15222.0,2.1,0.1,9.7,415138
Hillside,1,1,1029,2003.0,21,Single Family,2,0,0,1,9360.0,1.0,1.9,4.0,208325
Uptown,2,3,1462,2023.0,1,Single Family,1,0,0,1,10300.0,0.5,1.9,5.8,352493
University,4,5,2067,1986.0,38,Single Family,2,0,1,1,7013.0,1.3,4.6,2.8,306456
Hillside,1,1,775,1972.0,52,Townhouse,1,0,0,1,9758.0,4.4,0.4,1.8,136847
Downtown,3,5,1503,1976.0,48,Condo,1,0,0,0,11647.0,3.3,0.9,3.7,338265
University,2,4,1082,2019.0,5,Single Family,1,0,0,1,3457.0,2.2,3.9,0.8,190001
Suburban,3,3,1942,2015.0,9,Duplex,2,0,1,0,7711.0,0.5,1.3,0.3,341393
Riverside,1,1,801,2010.0,14,Single Family,0,0,1,1,9049.0,0.4,0.1,4.3,183685
Downtown,4,5,2310,2000.0,24,Townhouse,2,0,1,1,7830.0,2.7,0.2,9.5,516017
Riverside,5,6,2462,1999.0,25,Single Family,1,0,0,1,6538.0,0.3,3.4,2.6,464188
Industrial,5,6,2364,1968.0,56,Single Family,1,0,1,0,12185.0,1.4,2.7,2.0,323609
Suburban,4,4,1881,1950.0,74,Single Family,1,0,1,0,8610.0,0.9,4.2,2.3,259908
Suburban,2,2,1182,1989.0,35,Single Family,3,0,1,1,5896.0,0.9,0.3,2.0,222331
Downtown,4,5,2383,1981.0,43,Townhouse,2,0,1,1,10952.0,0.9,2.9,1.8,537668
Suburban,1,2,683,1971.0,53,Townhouse,1,0,0,1,12169.0,3.5,2.1,8.8,81588
Hillside,1,1,1323,2015.0,9,Single Family,2,0,1,1,11422.0,0.1,0.5,2.0,276513
Suburban,2,3,1131,1989.0,35,Condo,2,0,1,1,6753.0,2.3,7.3,0.3,177797
Riverside,3,4,1849,1987.0,37,Single Family,1,0,1,0,6882.0,2.7,1.7,4.4,332373
Riverside,4,5,2070,1997.0,27,Townhouse,2,0,0,0,4879.0,4.3,4.7,1.5,363317
University,3,4,1635,2004.0,20,Single Family,0,1,0,1,8761.0,0.9,3.9,3.7,298173
Riverside,3,4,1445,2004.0,20,Single Family,2,0,1,1,11295.0,1.0,0.8,2.6,309622
University,2,2,1280,2000.0,24,Single Family,2,0,0,1,9692.0,4.9,1.5,3.7,202373
Riverside,6,6,2668,2009.0,15,Single Family,1,0,0,0,13256.0,0.9,1.1,0.2,567759
Hillside,3,3,1363,1957.0,67,Townhouse,1,0,1,0,2178.0,1.1,2.5,0.1,201270
University,3,4,1723,2017.0,7,Single Family,3,1,0,1,,0.6,1.8,1.4,325775
Uptown,2,2,1172,2021.0,3,Single Family,2,0,0,1,10494.0,0.0,3.1,3.5,290761
Industrial,4,5,2436,1958.0,66,Single Family,2,0,1,1,6173.0,0.9,0.0,0.8,324950
Downtown,3,3,1900,1951.0,73,Townhouse,0,0,0,1,4605.0,1.6,2.3,1.7,318180
Riverside,2,2,1639,2019.0,5,Townhouse,1,0,0,1,4378.0,1.8,0.8,11.9,300613
Suburban,1,1,763,2008.0,16,Single Family,1,1,0,1,8313.0,0.0,0.5,0.7,190034
Riverside,3,2,1727,1968.0,56,Single Family,0,1,0,1,4303.0,2.4,3.2,5.7,245838
Suburban,3,4,1175,1977.0,47,Townhouse,2,0,0,1,12419.0,1.0,0.2,5.2,237764
Industrial,2,3,1243,2021.0,3,Single Family,2,0,0,1,9544.0,1.1,0.5,6.7,215938
Industrial,5,6,2519,1963.0,61,Single Family,2,0,0,1,7397.0,4.9,0.5,7.4,314900
Industrial,2,2,1330,1973.0,51,Single Family,1,0,0,1,7758.0,0.5,1.1,2.1,158544
Suburban,3,2,1691,1993.0,31,Single Family,2,0,0,1,11245.0,2.2,0.8,3.4,295572
Riverside,5,4,2513,2005.0,19,Single Family,3,0,1,0,12022.0,1.3,2.5,2.9,520228
Industrial,3,3,1157,2000.0,24,Townhouse,2,1,0,1,5198.0,1.8,2.4,1.1,180776
Hillside,3,4,1751,1981.0,43,Single Family,2,0,1,0,5800.0,0.8,0.8,1.0,324066
University,3,3,1796,1999.0,25,Townhouse,3,0,0,0,6928.0,0.5,1.1,1.3,289992
Suburban,2,2,1567,1990.0,34,Single Family,2,0,1,0,6126.0,1.2,0.5,0.7,247608
Suburban,6,6,2973,2015.0,9,Condo,0,1,1,0,2585.0,0.7,2.2,4.2,517352
Riverside,3,3,1673,1974.0,50,Single Family,1,0,0,1,5555.0,0.4,1.0,10.0,270839
Suburban,4,5,2320,2010.0,14,Single Family,3,0,0,1,5888.0,2.7,0.3,6.1,409210
Suburban,2,3,828,2015.0,9,Single Family,1,0,0,1,4399.0,1.0,0.3,0.7,171810
Industrial,2,2,1197,1991.0,33,Single Family,0,1,1,1,9320.0,2.8,0.8,0.2,186012
Riverside,1,1,746,2014.0,10,Single Family,1,1,0,1,7622.0,1.0,2.8,4.2,146266
Industrial,3,3,1693,1985.0,39,Townhouse,2,0,1,1,9851.0,1.2,0.1,1.5,243961
University,3,3,1260,1958.0,66,Single Family,3,0,0,1,5045.0,8.0,0.6,5.2,146369
University,4,4,2363,1985.0,39,Duplex,1,0,0,1,9901.0,4.5,0.4,4.5,356003
Industrial,3,5,1650,1987.0,37,Duplex,2,0,0,1,8434.0,0.5,6.3,2.9,224621
University,5,6,2563,1982.0,42,Single Family,2,0,1,0,6354.0,3.0,2.4,0.9,409244
Riverside,2,3,1344,1991.0,33,Duplex,1,0,0,1,12812.0,0.7,0.5,0.3,290589
Downtown,4,4,2352,2010.0,14,Single Family,0,0,1,1,8338.0,0.1,0.5,0.9,522388
Industrial,4,4,1727,1995.0,29,Single Family,3,1,0,1,6420.0,1.3,3.9,2.1,239379
Hillside,4,5,2122,2010.0,14,Single Family,1,0,0,1,8843.0,5.7,0.4,11.7,422943
Hillside,4,5,2329,1967.0,57,Single Family,2,0,1,0,5160.0,5.5,11.7,0.2,381799
Suburban,4,5,2080,2019.0,5,Single Family,2,0,1,0,7469.0,0.2,0.7,0.7,363389
University,3,3,1509,1964.0,60,Duplex,0,1,0,1,14087.0,2.2,0.2,3.0,250472
Hillside,2,3,1179,1997.0,27,Single Family,3,0,0,1,2691.0,2.4,2.3,1.1,212551
Suburban,1,1,821,2021.0,3,Single Family,1,0,1,0,6415.0,0.7,1.9,5.9,155918
Downtown,5,6,2355,1962.0,62,Condo,1,0,0,0,7557.0,1.6,17.3,0.5,502822
Riverside,3,4,1669,1992.0,32,Single Family,0,0,1,1,6900.0,1.0,3.2,9.9,269264
Riverside,4,5,2401,2009.0,15,Single Family,1,0,0,1,6498.0,0.4,1.1,7.3,465358
Riverside,3,3,1580,2006.0,18,Townhouse,2,1,0,1,13079.0,2.1,2.3,6.6,372791
Hillside,2,3,1202,2020.0,4,Single Family,2,1,1,0,6335.0,0.5,3.4,0.6,290560
Downtown,2,2,1391,1966.0,58,Single Family,3,1,0,0,9190.0,0.6,1.4,1.2,307658
Hillside,3,3,1665,1999.0,25,Single Family,1,0,1,1,6162.0,0.3,0.6,4.9,347659
University,3,3,1434,1981.0,43,Single Family,2,1,1,1,9197.0,1.9,0.5,4.9,253476
Hillside,2,3,1287,1971.0,53,Duplex,2,1,1,0,10807.0,0.9,0.7,3.7,243799
Downtown,3,3,1680,2004.0,20,Condo,2,1,0,1,7776.0,0.9,3.8,1.8,423659
Downtown,1,1,1095,2006.0,18,Single Family,2,0,1,1,6284.0,1.4,1.0,1.1,255293
University,3,4,1505,1962.0,62,Single Family,1,0,1,1,,0.3,0.7,9.9,206294
Downtown,2,2,1496,1996.0,28,Single Family,1,0,0,0,9605.0,3.4,3.3,0.4,325697
Downtown,4,5,2080,2011.0,13,Duplex,1,1,0,1,10599.0,0.9,0.1,0.1,567747
Riverside,2,2,1078,2003.0,21,Single Family,2,0,0,1,8771.0,0.7,1.8,0.0,254962
University,3,2,1438,1978.0,46,Single Family,3,0,1,1,7761.0,0.2,4.1,4.5,235631
Uptown,1,2,1286,1971.0,53,Townhouse,1,1,1,1,11836.0,0.3,1.1,0.2,329190
Uptown,1,1,868,2014.0,10,Duplex,0,0,1,1,6120.0,3.8,0.6,2.3,201269
Downtown,3,3,1887,1978.0,46,Single Family,0,0,1,0,6763.0,0.9,1.4,1.4,375206
Uptown,3,4,1358,1997.0,27,Single Family,2,1,0,1,13381.0,1.9,2.5,0.5,388566
Uptown,3,4,2227,1954.0,70,Single Family,1,1,0,1,7709.0,0.1,1.5,4.0,412642
Downtown,2,3,1478,1984.0,40,Single Family,1,0,0,1,9977.0,1.5,0.0,0.2,316810
Uptown,3,3,1648,2023.0,1,Townhouse,1,1,0,1,5339.0,3.8,0.2,1.1,359198
Hillside,4,3,2038,2020.0,4,Townhouse,2,0,0,1,11002.0,0.5,2.6,2.5,442176
Suburban,4,5,2246,1995.0,29,Townhouse,2,0,1,1,4548.0,1.3,1.0,1.5,396691
University,1,2,1035,1984.0,40,Single Family,2,0,1,0,4325.0,4.2,3.1,0.9,103582
Suburban,3,4,1736,1994.0,30,Single Family,1,0,0,0,10677.0,1.9,2.1,7.8,304366
Downtown,2,3,1302,1962.0,62,Single Family,1,0,1,1,6915.0,0.1,1.7,8.0,242548
Riverside,2,3,1412,1959.0,65,Single Family,0,0,0,0,7272.0,0.7,4.6,1.6,202301
University,6,6,2551,2015.0,9,Townhouse,0,1,0,1,9291.0,0.1,0.0,1.5,458347
Downtown,2,2,1225,2019.0,5,Single Family,1,0,1,0,7129.0,3.0,0.3,1.1,301922
Riverside,3,4,1370,2021.0,3,Single Family,1,1,0,1,4856.0,1.5,2.0,5.8,359762
Suburban,3,3,1820,1974.0,50,Single Family,2,0,1,1,,4.7,0.1,2.5,265734
Downtown,4,4,1964,1993.0,31,Single Family,0,0,1,0,5075.0,0.0,2.1,0.3,424994
University,3,4,1385,2009.0,15,Single Family,0,1,1,0,11484.0,0.8,8.3,5.8,258843
University,1,2,741,1996.0,28,Condo,2,1,0,1,11617.0,0.2,4.2,2.3,130944
Industrial,2,2,1329,1989.0,35,Single Family,2,0,0,1,5477.0,0.6,1.8,1.6,181546
Hillside,3,2,1658,1956.0,68,Townhouse,2,0,0,1,9306.0,0.3,4.5,1.2,265032
Uptown,1,1,665,1995.0,29,Single Family,2,0,1,1,7182.0,0.6,0.2,0.3,185287
Riverside,3,4,1359,1972.0,52,Single Family,1,0,1,1,12378.0,2.6,1.2,9.4,260730
Industrial,1,3,914,1995.0,29,Condo,2,1,0,1,15108.0,0.3,1.1,4.1,189954
Uptown,1,1,783,1962.0,62,Single Family,2,0,1,0,10195.0,1.0,0.8,0.4,179607
Uptown,3,2,1648,1970.0,54,Townhouse,1,0,0,1,6458.0,3.8,0.0,2.1,293124
Downtown,2,3,1268,1950.0,74,Single Family,1,0,0,0,4523.0,10.1,4.4,2.4,155632
Uptown,3,3,1786,1968.0,56,Single Family,1,0,1,1,8734.0,0.4,3.0,0.6,322217
Hillside,3,4,1869,,15,Townhouse,1,0,1,1,7532.0,4.1,2.1,1.7,332239
University,4,6,2129,1982.0,42,Condo,1,0,0,1,3672.0,0.5,0.3,3.1,303497
Industrial,2,1,1235,1953.0,71,Condo,1,0,0,1,8238.0,0.8,1.0,1.0,100542
Uptown,2,3,1304,1952.0,72,Single Family,0,0,0,1,14337.0,3.2,5.2,1.2,237707
Downtown,2,1,1232,2001.0,23,Single Family,0,0,0,1,10417.0,2.3,1.9,0.4,267284
Hillside,3,3,1371,1977.0,47,Townhouse,0,0,1,1,4514.0,2.9,1.8,1.6,244390
Suburban,4,5,2318,2019.0,5,Townhouse,0,1,0,0,7944.0,2.4,4.9,2.6,396259
University,1,1,1080,2019.0,5,Single Family,1,1,0,1,9120.0,0.4,1.6,0.4,191037
University,5,6,2897,2004.0,20,Single Family,2,0,0,0,9477.0,1.2,1.8,2.9,458489
Industrial,1,2,1356,2006.0,18,Condo,0,0,1,1,3091.0,0.7,0.8,1.5,164796
University,3,3,1464,1965.0,59,Single Family,2,1,1,1,7648.0,0.9,0.9,3.4,200951
Uptown,4,4,2032,1973.0,51,Single Family,2,0,1,1,8783.0,0.3,2.3,1.1,432032
Downtown,4,4,2602,2018.0,6,Condo,2,0,0,1,7440.0,0.6,0.8,2.5,559153
University,4,4,2091,1990.0,34,Single Family,2,0,1,0,2212.0,2.9,1.6,2.8,258920
University,4,3,2148,1996.0,28,Single Family,1,0,0,1,7545.0,3.4,0.7,3.5,306042
Suburban,2,2,995,2018.0,6,Townhouse,0,0,1,0,10352.0,1.4,0.4,4.2,258536
Suburban,4,4,2130,1980.0,44,Single Family,3,0,1,0,6284.0,1.0,1.2,0.4,345573
Riverside,1,2,1286,1979.0,45,Townhouse,0,0,0,1,6590.0,1.9,0.5,10.1,181584
Hillside,4,5,2357,1967.0,57,Single Family,3,0,0,0,12193.0,1.4,4.6,5.6,457047
Uptown,3,4,1578,1993.0,31,Single Family,2,1,0,1,7400.0,6.2,0.7,2.5,335176
University,4,3,2020,1976.0,48,Single Family,1,0,0,1,8335.0,0.3,1.8,6.6,292178
University,3,3,1473,1975.0,49,Duplex,1,0,0,1,2406.0,0.9,0.6,1.4,175203
Downtown,3,4,1529,,15,Single Family,2,1,1,0,4841.0,3.8,0.6,0.1,405156
Riverside,3,3,1317,1967.0,57,Single Family,0,0,0,1,14569.0,3.7,0.9,3.9,264077
Hillside,4,3,2083,2005.0,19,Single Family,1,0,1,1,12966.0,1.0,5.0,8.6,442182
Riverside,1,2,1202,1980.0,44,Single Family,2,1,1,1,9418.0,0.2,1.0,0.5,249288
Industrial,1,2,971,2008.0,16,Single Family,2,0,1,1,2000.0,2.5,3.4,3.1,154338
Hillside,2,3,1573,1951.0,73,Single Family,1,0,0,1,4004.0,1.3,0.4,5.0,224623
University,2,1,1514,1988.0,36,Single Family,1,1,0,0,3924.0,2.2,0.1,7.1,206675
University,4,5,1990,2010.0,14,Single Family,2,0,0,1,3880.0,0.9,3.0,1.0,320814
Hillside,2,3,1148,2012.0,12,Townhouse,2,0,0,1,6841.0,0.3,1.6,0.4,238727
University,5,6,2355,1967.0,57,Townhouse,2,1,1,1,10342.0,0.0,1.4,0.9,384338
Uptown,2,3,956,1966.0,58,Single Family,3,1,0,0,6104.0,1.2,0.6,2.6,188270
Hillside,2,3,1306,1988.0,36,Single Family,1,1,0,1,7068.0,0.3,0.2,7.5,257546
Riverside,4,5,1519,2020.0,4,Townhouse,1,0,0,1,7078.0,0.3,1.3,2.6,339714
Hillside,3,3,1818,2003.0,21,Townhouse,2,0,1,1,10709.0,0.9,4.0,7.6,371853
University,3,4,1714,1984.0,40,Single Family,2,0,0,1,10679.0,0.9,0.3,4.4,268148
Uptown,3,4,1794,1960.0,64,Condo,1,0,0,0,8485.0,0.5,5.3,2.7,327601
Uptown,4,5,2311,2010.0,14,Single Family,0,0,0,1,11835.0,0.2,0.6,0.1,538017
Industrial,2,2,1339,1993.0,31,Single Family,2,0,0,1,6851.0,4.3,1.5,1.2,185506
Riverside,6,6,3226,2017.0,7,Single Family,1,0,1,1,13240.0,0.2,0.1,0.2,667030
Suburban,5,6,2624,1974.0,50,Condo,3,0,0,1,6181.0,0.6,1.1,1.2,416847
Suburban,3,4,1548,1997.0,27,Single Family,0,0,1,0,2095.0,0.5,0.3,0.2,272853
Hillside,2,4,1252,1981.0,43,Townhouse,1,0,0,1,4211.0,3.0,0.1,0.6,209522
Industrial,3,4,1247,1953.0,71,Single Family,0,1,0,0,3944.0,0.8,6.8,1.6,151423
Downtown,1,2,719,1987.0,37,Single Family,2,0,0,1,5779.0,0.2,2.6,2.2,159048
Hillside,1,2,823,2012.0,12,Single Family,2,0,0,0,11385.0,0.0,2.5,0.7,185300
Industrial,2,3,1409,1996.0,28,Condo,2,1,1,1,6652.0,1.9,0.2,4.0,200458
Riverside,3,4,1549,1950.0,74,Single Family,3,0,0,1,3935.0,1.9,5.3,2.7,242754
Riverside,4,5,1850,1952.0,72,Single Family,0,0,1,1,3631.0,0.8,1.3,3.5,297714
Riverside,4,4,1722,2011.0,13,Single Family,0,0,0,1,7827.0,0.2,3.8,4.0,408781
Riverside,4,4,1980,2013.0,11,Condo,2,1,1,1,12574.0,0.7,0.0,3.9,457478
Riverside,3,4,2090,1966.0,58,Single Family,2,0,1,1,8663.0,1.3,0.7,8.3,335879
Industrial,2,2,1354,2011.0,13,Single Family,2,0,1,1,10831.0,1.8,11.1,0.8,191142
Industrial,3,3,1887,1984.0,40,Single Family,2,1,0,1,9205.0,0.1,1.1,0.9,263182
Uptown,6,6,2719,1962.0,62,Duplex,1,1,1,0,3420.0,1.2,4.4,0.3,501823
Suburban,1,1,585,1984.0,40,Condo,1,0,1,1,9804.0,0.5,0.8,2.7,131190
University,4,4,1855,1992.0,32,Townhouse,3,1,0,1,4582.0,1.4,1.5,1.5,326473
Riverside,3,3,1680,1951.0,73,Single Family,1,1,0,0,6749.0,1.6,3.9,2.1,290095
Downtown,3,5,1301,2005.0,19,Single Family,1,0,0,0,5831.0,3.6,1.9,0.6,324417
University,4,5,1898,2000.0,24,Condo,2,0,0,1,7689.0,0.8,2.6,3.1,308099
Industrial,3,3,1582,2003.0,21,Single Family,1,0,0,1,7254.0,1.2,0.5,2.9,223334
Downtown,4,3,1835,1965.0,59,Single Family,2,0,0,0,6858.0,0.5,0.3,0.9,370882
Downtown,5,6,2075,1967.0,57,Single Family,0,1,1,1,7172.0,0.5,0.5,1.9,488401
Downtown,3,3,1757,1956.0,68,Condo,2,0,0,1,8803.0,0.1,1.4,6.7,373251
Uptown,2,3,1309,1994.0,30,Single Family,2,1,1,0,7172.0,0.5,3.2,4.5,324798
Industrial,3,4,1855,1985.0,39,Single Family,2,0,0,0,7482.0,0.1,0.9,0.8,256795
Downtown,5,6,2277,1990.0,34,Condo,1,0,1,1,13976.0,5.0,1.7,6.3,552017
Riverside,2,2,1451,1991.0,33,Single Family,1,0,0,1,11118.0,1.5,3.3,0.2,278527
Hillside,3,4,2005,1956.0,68,Single Family,1,0,1,1,,0.3,0.5,1.6,336823
Downtown,3,3,1752,1964.0,60,Duplex,1,1,0,1,8320.0,0.2,4.3,0.3,369650
Uptown,4,6,1978,2009.0,15,Duplex,2,0,0,0,8085.0,0.7,6.1,7.7,434563
University,2,3,1329,1989.0,35,Condo,1,0,1,1,8239.0,0.6,0.1,0.1,220789
Industrial,4,4,1968,1986.0,38,Townhouse,0,0,0,1,7937.0,0.5,0.1,0.5,257652
Uptown,5,5,2335,2015.0,9,Single Family,0,1,0,1,8261.0,0.9,0.2,7.4,535604
Downtown,2,2,1436,2004.0,20,Condo,2,1,0,1,7244.0,3.7,3.0,2.6,363649
Industrial,2,3,1272,2005.0,19,Single Family,0,0,1,0,6156.0,1.3,0.4,4.8,138284
Hillside,5,5,2741,1993.0,31,Condo,2,0,0,1,6836.0,1.1,2.6,0.0,543217
Downtown,2,3,1211,,18,Condo,2,0,1,0,2791.0,2.5,1.2,1.6,263274
Uptown,4,4,2031,1955.0,69,Townhouse,2,0,0,0,10085.0,0.0,3.6,12.5,363618
Suburban,3,4,1586,1981.0,43,Condo,2,0,0,1,9446.0,0.3,3.3,2.6,270291
Riverside,2,3,1075,2023.0,1,Townhouse,0,0,1,0,14034.0,1.0,6.4,5.7,264801
University,4,5,2262,1967.0,57,Single Family,2,0,0,1,4413.0,1.8,0.6,9.9,318330
Uptown,3,4,2137,2017.0,7,Townhouse,2,0,1,0,6789.0,1.0,0.5,3.5,450077
Industrial,3,3,1623,2022.0,2,Single Family,2,0,0,0,11500.0,0.3,0.1,1.2,251449
Downtown,3,2,1563,1956.0,68,Single Family,2,0,0,1,9076.0,4.0,1.1,1.1,311852
Riverside,3,4,1550,1957.0,67,Single Family,0,0,0,0,12894.0,0.6,1.2,0.2,280123
Downtown,2,2,1164,2013.0,11,Single Family,1,0,0,0,12428.0,2.3,6.7,1.7,302893
Industrial,3,3,2029,1956.0,68,Condo,2,0,1,1,2000.0,3.3,3.6,7.4,202907
Downtown,5,4,2356,1990.0,34,Duplex,2,0,1,0,8772.0,0.6,0.4,2.0,517021
Suburban,2,2,1182,1989.0,35,Single Family,1,0,0,0,8787.0,2.8,3.2,7.3,191146
Riverside,3,2,1451,1952.0,72,Single Family,1,1,0,1,7931.0,1.9,0.4,5.1,217203
Riverside,2,3,1358,1966.0,58,Single Family,1,0,0,0,6696.0,3.5,0.2,12.4,191857
Industrial,4,4,2086,2015.0,9,Duplex,2,1,1,1,12686.0,0.4,3.6,8.9,318191
University,2,3,1072,2001.0,23,Single Family,3,0,1,0,7918.0,4.0,7.5,3.7,129914
Suburban,5,4,2321,1971.0,53,Townhouse,2,0,0,0,2000.0,0.1,0.2,6.1,350625
Uptown,3,4,2006,1953.0,71,Condo,1,0,0,1,6672.0,2.4,3.4,4.1,346794
Downtown,2,2,1306,1955.0,69,Single Family,0,0,0,1,14213.0,0.9,3.9,3.6,258030
Hillside,1,2,920,1987.0,37,Condo,0,0,1,0,4648.0,0.3,0.3,3.8,176518
Downtown,2,3,1321,1975.0,49,Condo,1,0,1,1,11652.0,0.1,0.7,3.8,306190
Downtown,3,3,1978,1960.0,64,Condo,2,0,0,0,11127.0,0.7,2.6,1.4,394996
Uptown,2,4,1090,1966.0,58,Single Family,1,1,0,0,7232.0,0.7,3.3,1.7,213837
Downtown,4,6,2020,1980.0,44,Single Family,2,0,0,1,8567.0,0.4,0.9,1.0,481180
Suburban,3,4,1666,1984.0,40,Condo,2,0,0,0,7791.0,0.4,0.3,0.5,294352
Suburban,2,3,955,1965.0,59,Single Family,3,0,1,1,6418.0,0.8,2.1,1.8,153015
Riverside,3,3,1516,1967.0,57,Townhouse,1,0,0,0,5994.0,0.8,2.4,6.9,212013
Industrial,4,5,2309,2011.0,13,Single Family,0,0,1,1,12262.0,0.9,1.4,3.2,312248
University,2,1,1452,1976.0,48,Single Family,1,0,0,1,7479.0,3.0,0.3,0.2,200684
Hillside,2,1,1487,1984.0,40,Single Family,2,0,0,1,5683.0,1.4,3.7,5.0,212817
Downtown,1,3,782,1994.0,30,Single Family,3,0,1,0,9647.0,0.0,2.1,8.2,244291
Downtown,4,4,2006,1984.0,40,Single Family,0,0,0,1,9279.0,1.1,4.1,5.3,414934
Uptown,3,4,1342,1977.0,47,Single Family,0,0,1,1,3523.0,2.2,5.4,3.9,238840
